surname,firstname,middle_name,strand,email,reference_number,pupcet_score
TORRES,MARK,IGNACIO,GAS,mark.torres349@mail.com,2026-373-940,50.13
CORPUZ,SUSAN,BUENAVENTURA,TVL,susan.corpuz594@hotmail.com,2026-986-252,72.33
MANALO,MATTHEW,KAPUNAN,TVL,matthew.manalo782@mail.com,2026-486-566,96.64
RIVERA,KYLA,HERNANDEZ,TVL,kyla.rivera393@yahoo.com,2026-976-894,70.54
NAVARRO,RAFAEL,PANGANIBAN,GAS,rafael.navarro396@yahoo.com,2026-607-137,56.31
LOZANO,JESSICA,CONCEPCION,STEM,jessica.lozano896@hotmail.com,2026-202-638,95.52
DELA CRUZ,PAULO,ESPIRITU,GAS,paulo.delacruz892@yahoo.com,2026-176-580,89.08
AQUINO,JESSICA,TANEDO,GAS,jessica.aquino666@gmail.com,2026-972-436,92.62
MERCADO,ANTHONY,KAPUNAN,GAS,anthony.mercado894@mail.com,2026-136-732,53.42
FERRER,ALTHEA,EVANGELISTA,HUMSS,althea.ferrer233@gmail.com,2026-544-200,88.02
CABRERA,JOHN,OLIVARES,ABM,john.cabrera711@outlook.com,2026-129-147,66.22
CRUZ,CHARLES,LACSON,HUMSS,charles.cruz442@yahoo.com,2026-350-643,70.6
ROSARIO,JENNIFER,FRANCISCO,ABM,jennifer.rosario81@mail.com,2026-991-491,80.99
RAMOS,MARGARET,EVANGELISTA,TVL,margaret.ramos147@yahoo.com,2026-572-753,62.7
AQUINO,REIGN,AQUINO,GAS,reign.aquino923@outlook.com,2026-793-659,57.9
SANTIAGO,MATTHEW,SARMIENTO,HUMSS,matthew.santiago655@hotmail.com,2026-806-356,72.84
MORALES,MICHAEL,MAGBANUA,GAS,michael.morales110@yahoo.com,2026-490-685,67.95
JIMENEZ,KYLA,JACINTO,STEM,kyla.jimenez850@hotmail.com,2026-381-108,78.3
ROSARIO,SOPHIA,YABUT,STEM,sophia.rosario933@mail.com,2026-863-608,91.64
JIMENEZ,SOPHIA,ABLAZA,ABM,sophia.jimenez622@outlook.com,2026-324-751,59.51
AQUINO,ALTHEA,ZAMORA,ABM,althea.aquino644@gmail.com,2026-742-761,51.97
SANTIAGO,JOSE,SARMIENTO,HUMSS,jose.santiago750@yahoo.com,2026-192-402,66.34
HERNANDEZ,JENNIFER,GUTIERREZ,ABM,jennifer.hernandez806@mail.com,2026-997-474,76.54
CASTRO,ROBERT,IGNACIO,GAS,robert.castro991@outlook.com,2026-864-991,66.94
MENDOZA,LISA,CRUZ,ABM,lisa.mendoza773@yahoo.com,2026-980-792,86.21
MARTINEZ,DOROTHY,LACSON,STEM,dorothy.martinez810@hotmail.com,2026-114-370,76.83
DIZON,SARAH,VELASCO,HUMSS,sarah.dizon599@hotmail.com,2026-942-753,97.01
GARCIA,ALTHEA,HERNANDEZ,GAS,althea.garcia26@mail.com,2026-674-435,95.76
GONZALES,PRINCESS,CRUZ,GAS,princess.gonzales932@outlook.com,2026-764-518,55.83
REYES,JOSE,JACINTO,GAS,jose.reyes119@gmail.com,2026-340-650,56.78
DIZON,SARAH,VELASCO,TVL,sarah.dizon430@mail.com,2026-860-844,57.73
HERNANDEZ,PRINCESS,DELOS SANTOS,GAS,princess.hernandez631@hotmail.com,2026-386-133,84.51
FLORES,JOSHUA,OLIVARES,ABM,joshua.flores876@outlook.com,2026-201-802,68.37
MAGNO,MATTHEW,BAUTISTA,GAS,matthew.magno283@yahoo.com,2026-225-968,91.21
OCAMPO,REIGN,GUTIERREZ,TVL,reign.ocampo995@gmail.com,2026-151-905,66.68
TORRES,GEORGE,GUTIERREZ,STEM,george.torres850@mail.com,2026-312-700,60.8
GONZALES,JESSICA,ZAMORA,ABM,jessica.gonzales808@mail.com,2026-102-383,92.92
TOMAS,JAMES,REGALADO,HUMSS,james.tomas818@yahoo.com,2026-212-776,93.32
TORRES,JUAN,LACSON,ABM,juan.torres603@outlook.com,2026-116-278,63.27
TORRES,RAFAEL,NATIVIDAD,TVL,rafael.torres117@gmail.com,2026-587-559,88.9
TOLENTINO,SANDRA,DELOS SANTOS,GAS,sandra.tolentino516@yahoo.com,2026-729-144,86.36
PANGILINAN,BETTY,JACINTO,GAS,betty.pangilinan659@gmail.com,2026-162-590,92.36
PEREZ,ALTHEA,DELOS SANTOS,GAS,althea.perez730@hotmail.com,2026-175-182,66.11
TOMAS,MARK,ESPIRITU,HUMSS,mark.tomas640@mail.com,2026-661-829,66.26
PADILLA,BETTY,JACINTO,GAS,betty.padilla518@mail.com,2026-540-201,89.65
MENDOZA,PRINCESS,UMALI,TVL,princess.mendoza739@yahoo.com,2026-540-562,94.4
HERNANDEZ,JESSICA,BUENAVENTURA,GAS,jessica.hernandez409@hotmail.com,2026-847-197,65.63
NAVARRO,REIGN,IGNACIO,HUMSS,reign.navarro977@yahoo.com,2026-803-585,53.36
OCAMPO,ANGEL,NATIVIDAD,STEM,angel.ocampo763@outlook.com,2026-931-233,77.82
LOZANO,DOROTHY,REGALADO,HUMSS,dorothy.lozano687@gmail.com,2026-520-462,93.68
ESPINOSA,NANCY,CONCEPCION,STEM,nancy.espinosa992@outlook.com,2026-714-419,67.58
DOMINGO,KEVIN,GUTIERREZ,ABM,kevin.domingo673@hotmail.com,2026-329-967,55.41
SALAZAR,SARAH,DELOS SANTOS,HUMSS,sarah.salazar588@yahoo.com,2026-926-539,92.26
FAJARDO,ASHLEY,TANEDO,TVL,ashley.fajardo27@mail.com,2026-773-949,84.67
SANTOS,JENNIFER,IGNACIO,HUMSS,jennifer.santos944@outlook.com,2026-459-106,59.07
TOMAS,GEORGE,VELASCO,GAS,george.tomas72@yahoo.com,2026-858-748,98.59
OCAMPO,RAFAEL,QUIZON,ABM,rafael.ocampo386@hotmail.com,2026-564-449,57.87
MORALES,PAULO,KAPUNAN,TVL,paulo.morales611@gmail.com,2026-153-259,57.87
ENRIQUEZ,ANA,VELASCO,STEM,ana.enriquez279@hotmail.com,2026-777-534,74.28
SANTIAGO,CHRISTOPHER,IGNACIO,ABM,christopher.santiago774@mail.com,2026-216-453,71.5
JIMENEZ,ALTHEA,VELASCO,TVL,althea.jimenez499@mail.com,2026-783-415,52.27
MARTINEZ,EDWARD,BAUTISTA,STEM,edward.martinez210@outlook.com,2026-316-885,56.86
AQUINO,CHARLES,KAPUNAN,STEM,charles.aquino8@hotmail.com,2026-864-540,58.78
LOPEZ,BRIAN,WONG,ABM,brian.lopez513@mail.com,2026-953-784,90.31
BAUTISTA,KAREN,CONCEPCION,STEM,karen.bautista447@gmail.com,2026-570-179,93.11
DOMINGO,NANCY,SARMIENTO,GAS,nancy.domingo727@hotmail.com,2026-396-217,70.25
NAVARRO,ROBERT,ABLAZA,TVL,robert.navarro472@outlook.com,2026-190-547,92.22
RAMOS,NANCY,SARMIENTO,GAS,nancy.ramos537@gmail.com,2026-505-991,65.51
PASCUAL,DAVID,KAPUNAN,ABM,david.pascual79@mail.com,2026-748-216,76.53
RIVERA,SOPHIA,LACSON,HUMSS,sophia.rivera745@yahoo.com,2026-341-205,57.32
RIVERA,JENNIFER,TANEDO,ABM,jennifer.rivera779@gmail.com,2026-281-891,81.4
DIZON,GABRIEL,SARMIENTO,TVL,gabriel.dizon460@mail.com,2026-758-750,99.33
NAVARRO,CARLO,KAPUNAN,ABM,carlo.navarro451@gmail.com,2026-580-552,81.57
CASTRO,SANDRA,BAUTISTA,HUMSS,sandra.castro520@gmail.com,2026-417-572,72.6
CRUZ,SARAH,BUENAVENTURA,HUMSS,sarah.cruz79@gmail.com,2026-729-708,75.35
DIZON,SANDRA,REGALADO,STEM,sandra.dizon461@mail.com,2026-767-292,66.08
MANALO,KEVIN,ESPIRITU,STEM,kevin.manalo462@gmail.com,2026-930-957,67.17
CABRERA,ANGEL,QUIZON,ABM,angel.cabrera41@yahoo.com,2026-824-548,99.55
VALDEZ,BETTY,TANEDO,ABM,betty.valdez373@outlook.com,2026-389-496,70.44
PASCUAL,ALTHEA,TANEDO,STEM,althea.pascual809@outlook.com,2026-167-437,54.73
ROSARIO,ANTHONY,JACINTO,HUMSS,anthony.rosario742@mail.com,2026-994-253,66.67
LOZANO,REIGN,ESPIRITU,HUMSS,reign.lozano318@hotmail.com,2026-232-709,85.44
OCAMPO,SUSAN,REGALADO,GAS,susan.ocampo659@outlook.com,2026-932-230,83.51
DELOS REYES,ALTHEA,EVANGELISTA,TVL,althea.delosreyes96@hotmail.com,2026-620-470,50.91
MORALES,JENNIFER,GUTIERREZ,HUMSS,jennifer.morales971@hotmail.com,2026-296-331,100.0
TOMAS,MARK,JACINTO,STEM,mark.tomas520@mail.com,2026-955-856,94.18
REYES,REIGN,KAPUNAN,TVL,reign.reyes135@mail.com,2026-485-257,58.11
VENTURA,SOPHIA,TANEDO,ABM,sophia.ventura739@hotmail.com,2026-144-520,68.21
CORPUZ,ELIZABETH,OLIVARES,TVL,elizabeth.corpuz292@hotmail.com,2026-339-646,61.96
MANALO,MICHAEL,LACSON,TVL,michael.manalo452@hotmail.com,2026-887-388,88.91
TOLENTINO,BETTY,NATIVIDAD,ABM,betty.tolentino837@yahoo.com,2026-920-719,56.92
AQUINO,ANA,UMALI,GAS,ana.aquino896@outlook.com,2026-667-205,85.57
VALDEZ,MARY,JACINTO,STEM,mary.valdez782@yahoo.com,2026-379-560,95.27
TOMAS,NANCY,CRUZ,ABM,nancy.tomas837@hotmail.com,2026-457-127,70.74
MARTINEZ,KEVIN,LACSON,ABM,kevin.martinez396@gmail.com,2026-483-329,51.41
GARCIA,TRISHA,UMALI,HUMSS,trisha.garcia811@yahoo.com,2026-240-139,64.34
MANALO,KYLA,BUENAVENTURA,ABM,kyla.manalo778@hotmail.com,2026-559-730,50.26
OCAMPO,MARIA,IGNACIO,ABM,maria.ocampo856@yahoo.com,2026-661-844,80.44
PEREZ,MARY,ZAMORA,HUMSS,mary.perez244@outlook.com,2026-224-148,61.92
FERRER,ASHLEY,OLIVARES,STEM,ashley.ferrer114@hotmail.com,2026-711-648,50.82
TOLENTINO,GEORGE,HERNANDEZ,ABM,george.tolentino299@hotmail.com,2026-101-729,67.64
DOMINGO,CHRISTOPHER,FRANCISCO,STEM,christopher.domingo537@outlook.com,2026-169-638,77.2
TOLENTINO,DOROTHY,AQUINO,GAS,dorothy.tolentino895@hotmail.com,2026-144-750,69.34
AGUILAR,RICHARD,YABUT,STEM,richard.aguilar366@gmail.com,2026-453-346,86.65
FERRER,JOHN,ZAMORA,TVL,john.ferrer753@outlook.com,2026-236-145,67.61
PASCUAL,PRINCESS,FRANCISCO,GAS,princess.pascual713@hotmail.com,2026-746-286,90.57
BAUTISTA,TRISHA,ZAMORA,GAS,trisha.bautista38@outlook.com,2026-306-144,89.56
REYES,DANIEL,EVANGELISTA,HUMSS,daniel.reyes528@hotmail.com,2026-934-656,73.67
REYES,GABRIEL,UMALI,ABM,gabriel.reyes293@outlook.com,2026-982-899,52.39
MAGNO,JESSICA,IGNACIO,STEM,jessica.magno819@outlook.com,2026-547-509,87.17
LOPEZ,JESSICA,FRANCISCO,GAS,jessica.lopez709@hotmail.com,2026-476-916,75.96
OCAMPO,PAULO,NATIVIDAD,STEM,paulo.ocampo441@mail.com,2026-942-284,77.27
NAVARRO,JOHN,CRUZ,HUMSS,john.navarro677@outlook.com,2026-413-556,80.13
PEREZ,ROBERT,WONG,GAS,robert.perez360@hotmail.com,2026-143-844,93.5
VILLANUEVA,ASHLEY,NATIVIDAD,HUMSS,ashley.villanueva655@gmail.com,2026-176-787,81.88
AGUILAR,KEVIN,ABLAZA,ABM,kevin.aguilar976@gmail.com,2026-246-969,80.38
SANTIAGO,JOSE,ESPIRITU,STEM,jose.santiago242@outlook.com,2026-470-492,97.47
REYES,EDWARD,ESPIRITU,GAS,edward.reyes972@outlook.com,2026-480-554,88.15
DOMINGO,JAMES,QUIZON,HUMSS,james.domingo408@outlook.com,2026-765-385,62.48
MENDOZA,MARIA,YABUT,ABM,maria.mendoza512@mail.com,2026-496-675,55.89
FAJARDO,RICHARD,WONG,GAS,richard.fajardo220@mail.com,2026-392-810,95.82
SORIANO,MICHAEL,DELOS SANTOS,ABM,michael.soriano874@gmail.com,2026-562-276,94.93
SANTIAGO,ANGEL,ABLAZA,HUMSS,angel.santiago684@outlook.com,2026-826-166,77.5
JIMENEZ,SUSAN,CONCEPCION,ABM,susan.jimenez729@yahoo.com,2026-912-470,75.44
MENDOZA,MICHAEL,ABLAZA,ABM,michael.mendoza243@hotmail.com,2026-126-469,77.7
AGUILAR,LISA,ABLAZA,TVL,lisa.aguilar133@mail.com,2026-188-167,65.46
CABRERA,PAULO,PANGANIBAN,TVL,paulo.cabrera421@hotmail.com,2026-943-688,53.69
NAVARRO,PRINCESS,CRUZ,GAS,princess.navarro478@mail.com,2026-452-231,93.9
FAJARDO,DOROTHY,UMALI,TVL,dorothy.fajardo187@yahoo.com,2026-543-614,95.54
CRUZ,MARY,QUIZON,ABM,mary.cruz312@yahoo.com,2026-265-430,96.74
GONZALES,MATTHEW,QUIZON,HUMSS,matthew.gonzales867@gmail.com,2026-356-301,81.75
SALAZAR,BARBARA,ESPIRITU,HUMSS,barbara.salazar630@mail.com,2026-195-614,82.05
LOZANO,SANDRA,ESPIRITU,ABM,sandra.lozano675@mail.com,2026-837-719,66.88
DOMINGO,JOSE,BUENAVENTURA,STEM,jose.domingo84@gmail.com,2026-756-889,78.84
MAGNO,LINDA,ZAMORA,TVL,linda.magno427@mail.com,2026-754-131,74.9
FERRER,BRIAN,JACINTO,HUMSS,brian.ferrer495@yahoo.com,2026-924-926,84.25
MORALES,LISA,CRUZ,STEM,lisa.morales162@hotmail.com,2026-525-595,73.22
PASCUAL,EDWARD,ESPIRITU,HUMSS,edward.pascual883@outlook.com,2026-851-981,67.27
MARTINEZ,JAMES,ZAMORA,HUMSS,james.martinez528@mail.com,2026-208-426,62.09
MENDOZA,BARBARA,OLIVARES,ABM,barbara.mendoza145@gmail.com,2026-151-397,97.27
ENRIQUEZ,CHRISTOPHER,HERNANDEZ,ABM,christopher.enriquez834@outlook.com,2026-691-838,65.64
ESPINOSA,ROBERT,PANGANIBAN,TVL,robert.espinosa479@hotmail.com,2026-415-609,51.16
MARTINEZ,KEVIN,OLIVARES,ABM,kevin.martinez221@mail.com,2026-461-149,52.53
SORIANO,EDWARD,DIMACULANGAN,GAS,edward.soriano293@mail.com,2026-108-967,55.37
TORRES,RICHARD,YABUT,HUMSS,richard.torres783@hotmail.com,2026-474-146,70.03
DOMINGO,DOROTHY,GUTIERREZ,HUMSS,dorothy.domingo567@outlook.com,2026-175-495,75.21
